Orthogroup	Arabidopsis_thaliana	Lotus_japonicus
OG0002050	AT1G74590, AT5G62480	LotjaGi1g1v0139500
OG0002051	AT1G49320	LotjaGi1g1v0570400, LotjaGi3g1v0507100, LotjaGi3g1v0507200
OG0002052	AT5G64460	LotjaGi4g1v0042200
OG0002052	AT1G58280	LotjaGi1g1v0414700, LotjaGi1g1v0133500
OG0002054	AT1G14980, AT1G23100	LotjaGi4g1v0081300_LC
OG0002055	AT1G66370, AT1G56650, AT1G66390, AT1G66380	LotjaGi3g1v0220600, LotjaGi1g1v0575400
OG0002056	AT2G22670, AT5G65670	LotjaGi2g1v0331600, LotjaGi1g1v0132800
OG0002057	AT5G09330, AT5G64060	LotjaGi4g1v0409300, LotjaGi1g1v0318800
OG0002058	AT3G51030	LotjaGi2g1v0385800
OG0002059	AT3G01420	LotjaGi2g1v0249500
OG0002060	AT2G47550, AT4G02330, AT1G02810	LotjaGi1g1v0763400
OG0002061	AT5G24390, AT3G49350	LotjaGi1g1v0292900
OG0002062	AT5G40350, AT3G27810, AT3G01530	LotjaGi2g1v0244500, LotjaGi1g1v0608400
OG0002063	AT3G44260, AT5G22250	LotjaGi3g1v0486800_LC
OG0002064	AT2G20880, AT4G28140	LotjaGi3g1v0456300_LC
OG0002065	AT2G33990, AT3G15050	LotjaGi3g1v0156700
OG0002066	AT1G48370, AT1G65730, AT3G17650	LotjaGi2g1v0179200, LotjaGi2g1v0179400, LotjaGi6g1v0048100
OG0002067	AT2G25580, AT4G32450, AT2G34370	LotjaGi3g1v0143100, LotjaGi2g1v0455600, LotjaGi6g1v0362600_LC
OG0002068	AT5G20550, AT5G20400, AT1G49390, AT5G54000	LotjaGi1g1v0563200, LotjaGi1g1v0563300
OG0002069	AT1G24130	LotjaGi2g1v0313800, LotjaGi1g1v0183900
OG0002070	AT2G32560, AT2G26850	LotjaGi1g1v0052300, LotjaGi6g1v0177900, LotjaGi1g1v0662400
OG0002071	AT4G37630	LotjaGi2g1v0408900
OG0002072	AT1G58120	LotjaGi6g1v0349900_LC, LotjaGi1g1v0348100
OG0002073	AT4G05260, AT4G05240, AT4G05250	LotjaGi2g1v0458100_LC
OG0002074	AT1G11390, AT1G61640	LotjaGi3g1v0325700, LotjaGi4g1v0189500, LotjaGi6g1v0340000
OG0002075	AT3G26935, AT5G41060	LotjaGi1g1v0629000, LotjaGi2g1v0103100
OG0002076	AT3G62130, AT5G26600	LotjaGi5g1v0238100, LotjaGi1g1v0751300
OG0002077	AT3G24605	LotjaGi2g1v0218600
OG0002078	AT5G55460, AT5G55450, AT5G55410	LotjaGi6g1v0151500, LotjaGi1g1v0022100, LotjaGi1g1v0021900
OG0002079	AT1G61940, AT2G47900	LotjaGi5g1v0262300, LotjaGi6g1v0305700, LotjaGi5g1v0145200_LC, LotjaGi6g1v0305900
OG0002080	AT1G55520, AT3G13445	LotjaGi1g1v0454200, LotjaGi3g1v0094100
OG0002082	AT2G30370	LotjaGi1g1v0107800
OG0002082	AT4G14723	LotjaGi5g1v0310800
OG0002083	AT3G62570, AT2G47440, AT1G02650, AT4G02100	LotjaGi5g1v0246100, LotjaGi1g1v0760900
OG0002084	AT4G23720	LotjaGi4g1v0432300
OG0002085	AT2G18200, AT4G36500, AT2G18210, AT3G50900, AT5G66490	LotjaGi4g1v0119900
OG0002086	AT3G25890, AT1G25470, AT1G68550	LotjaGi3g1v0453400_LC, LotjaGi5g1v0340400, LotjaGi2g1v0277500
OG0002087	AT1G27600	LotjaGi1g1v0413300
OG0002088	AT1G10560, AT1G60190	LotjaGi2g1v0319800, LotjaGi4g1v0236000
OG0002089	AT2G37070, AT3G53320	LotjaGi5g1v0074900, LotjaGi1g1v0693800
OG0002089	AT2G38890	LotjaGi1g1v0575000_LC, LotjaGi2g1v0100400_LC
OG0002090	AT4G31880	LotjaGi1g1v0099300
OG0002091	AT3G01120, AT1G33320	LotjaGi2g1v0260800, LotjaGi1g1v0505500
OG0002093	AT5G63900	LotjaGi6g1v0122700_LC
OG0002094	AT3G58000, AT2G42140	LotjaGi5g1v0140800
OG0002095	AT1G15380	LotjaGi4g1v0269400
OG0002095	AT1G80160	LotjaGi3g1v0358200, LotjaGi3g1v0010800
OG0002096	AT3G07340, AT5G48560	LotjaGi3g1v0089700, LotjaGi1g1v0592500
OG0002097	AT5G02450, AT2G37600, AT3G53740	LotjaGi5g1v0299100, LotjaGi2g1v0140900
OG0002098	AT3G48870, AT5G50920	LotjaGi1g1v0333900
OG0002099	AT3G53840	LotjaGi6g1v0066800
OG0002099	AT5G02070	LotjaGi1g1v0578600
OG0002101	AT3G21770, AT1G05260, AT4G11290	LotjaGi3g1v0191200
OG0002102	AT3G28380, AT3G28390, AT3G28360, AT3G28345, AT3G28415	LotjaGi2g1v0253200, LotjaGi2g1v0253000
OG0002103	AT4G12110, AT4G22755, AT4G22756	LotjaGi4g1v0213100
OG0002104	AT2G26650	LotjaGi5g1v0061400, LotjaGi4g1v0266600, LotjaGi1g1v0387000
OG0002105	AT3G13890	LotjaGi3g1v0423600, LotjaGi3g1v0027500
OG0002106	AT4G03965, AT4G22250	LotjaGi4g1v0010400, LotjaGi6g1v0289100
OG0002107	AT1G70090, AT1G24170	LotjaGi2g1v0312800
OG0002108	AT5G12470	LotjaGi3g1v0548200, LotjaGi3g1v0536800
OG0002109	AT2G24590	LotjaGi5g1v0067000
OG0002109	AT1G23860	LotjaGi4g1v0164400
OG0002111	AT5G39500	LotjaGi6g1v0064200, LotjaGi1g1v0087500
OG0002111	AT1G13980	LotjaGi6g1v0064300
OG0002112	AT3G63530	LotjaGi3g1v0060600
OG0002113	AT3G15040	LotjaGi3g1v0178000, LotjaGi3g1v0475800, LotjaGi1g1v0673500
OG0002114	AT4G09830	LotjaGi5g1v0288000
OG0002115	AT4G18210, AT4G18220	LotjaGi6g1v0144000, LotjaGi6g1v0144100
OG0002116	AT2G23360	LotjaGi4g1v0102900, LotjaGi2g1v0403400
OG0002117	AT4G18890, AT1G78700	LotjaGi3g1v0262700
OG0002118	AT5G18210, AT3G03980	LotjaGi1g1v0641200
OG0002119	AT1G04950	LotjaGi1g1v0539400
OG0002119	AT1G54360	LotjaGi5g1v0067900_LC
OG0002120	AT1G06137, AT1G06135, AT2G31345, AT2G31335	LotjaGi1g1v0783200_LC
OG0002121	AT1G29770, AT1G29780, AT5G45700	LotjaGi6g1v0317800
OG0002122	AT4G18260	LotjaGi4g1v0023000
OG0002122	AT2G30890	LotjaGi6g1v0173700, LotjaGi1g1v0043700
OG0002123	AT5G11230, AT2G25520, AT4G32390, AT5G25400	LotjaGi4g1v0270200, LotjaGi1g1v0385000
OG0002124	AT1G45180, AT5G42940	LotjaGi1g1v0356100, LotjaGi5g1v0027100
OG0002125	AT3G12340	LotjaGi2g1v0025700_LC, LotjaGi2g1v0026800
OG0002125	AT4G25340	LotjaGi2g1v0445300
OG0002126	AT3G07410, AT2G43130, AT2G31680	LotjaGi1g1v0554600
OG0002127	AT3G13290, AT3G13300	LotjaGi6g1v0280300, LotjaGi6g1v0138000
OG0002128	AT4G29160, AT2G19830	LotjaGi4g1v0442500, LotjaGi4g1v0442300
OG0002129	AT3G05290, AT5G27520	LotjaGi2g1v0305500, LotjaGi5g1v0317200
OG0002131	AT4G25420, AT5G51810	LotjaGi2g1v0152100
OG0002132	AT5G15230, AT1G74670	LotjaGi2g1v0259600, LotjaGi1g1v0502700, LotjaGi1g1v0219700
OG0002133	AT1G33760, AT1G71450	LotjaGi2g1v0445600, LotjaGi2g1v0445700
OG0002134	AT1G08970, AT1G54830	LotjaGi5g1v0219700, LotjaGi1g1v0774500
OG0002135	AT1G78880, AT1G16860	LotjaGi3g1v0346050, LotjaGi3g1v0342300
OG0002137	AT3G61230, AT2G45800, AT1G01780	LotjaGi3g1v0380400, LotjaGi1g1v0472900
OG0002138	AT3G49940, AT5G67420, AT4G37540	LotjaGi2g1v0407700, LotjaGi4g1v0096300
OG0002139	AT4G33620	LotjaGi6g1v0349500
OG0002139	AT1G09730	LotjaGi1g1v0137200, LotjaGi1g1v0347400
OG0002140	AT5G22480, AT5G37340	LotjaGi1g1v0250100_LC, LotjaGi1g1v0250600, LotjaGi1g1v0551700, LotjaGi1g1v0250400_LC
OG0002141	AT2G46270, AT4G01120	LotjaGi3g1v0390700, LotjaGi1g1v0789400
OG0002142	AT1G79820, AT1G67300	LotjaGi3g1v0367100
OG0002143	AT5G01660, AT3G11000	LotjaGi1g1v0447400
OG0002145	AT5G54630	LotjaGi3g1v0233800, LotjaGi3g1v0094600
OG0002145	AT1G11490	LotjaGi6g1v0344400
OG0002146	AT5G16080, AT1G68620	LotjaGi5g1v0341700, LotjaGi1g1v0250900, LotjaGi1g1v0551500
OG0002147	AT5G28680, AT3G04690	LotjaGi5g1v0211700
OG0002148	AT3G53020, AT2G36620	LotjaGi2g1v0412900, LotjaGi4g1v0419200
OG0002149	AT3G58060	LotjaGi1g1v0264300
OG0002150	AT1G28480	LotjaGi6g1v0327600
OG0002151	AT5G38710, AT3G30775	LotjaGi2g1v0059500, LotjaGi1g1v0523800
OG0002152	AT3G23660, AT1G05520, AT4G14160	LotjaGi6g1v0103600, LotjaGi4g1v0368900
OG0002153	AT3G29400	LotjaGi1g1v0512500
OG0002154	AT5G15270, AT1G14170	LotjaGi2g1v0260400
OG0002155	AT5G51500, AT5G51490, AT3G47400	LotjaGi3g1v0553700, LotjaGi3g1v0328900, LotjaGi6g1v0012300_LC, LotjaGi3g1v0328800
OG0002156	AT5G19360, AT5G12180	LotjaGi6g1v0178500, LotjaGi1g1v0051300
OG0002157	AT2G20000	LotjaGi2g1v0058900, LotjaGi1g1v0524200
OG0002158	AT5G59760, AT2G28690	LotjaGi1g1v0697500, LotjaGi2g1v0368800, LotjaGi3g1v0280100
OG0002159	AT3G55260, AT1G65590	LotjaGi5g1v0357700_LC
OG0002160	AT4G24240	LotjaGi5g1v0029900
OG0002161	AT4G18330, AT1G04170	LotjaGi5g1v0145300, LotjaGi1g1v0535000
OG0002162	AT2G24400, AT4G31320	LotjaGi3g1v0340800, LotjaGi1g1v0397600
OG0002164	AT3G22760, AT4G14770, AT3G22780	LotjaGi2g1v0454200, LotjaGi5g1v0311500_LC
OG0002167	AT1G11070, AT1G61080, AT4G04980	LotjaGi4g1v0052900, LotjaGi6g1v0335500
OG0002168	AT3G54420	LotjaGi3g1v0501600
OG0002169	AT3G21270, AT1G51700	LotjaGi6g1v0330000
OG0002170	AT4G35000	LotjaGi3g1v0521300, LotjaGi2g1v0380000
OG0002171	AT4G15480, AT3G21560, AT4G15490, AT4G15500	LotjaGi1g1v0150100
OG0002172	AT2G27310	LotjaGi3g1v0180300
OG0002172	AT2G36090	LotjaGi1g1v0734200
OG0002173	AT5G36160	LotjaGi3g1v0446400
OG0002174	AT5G59950, AT5G02530	LotjaGi2g1v0370700
OG0002175	AT4G00500, AT3G49050	LotjaGi3g1v0382900
OG0002177	AT4G27440, AT5G54190, AT1G03630	LotjaGi3g1v0076400
OG0002178	AT1G14290, AT1G69640	LotjaGi2g1v0304600
OG0002180	AT1G80850, AT1G15970	LotjaGi3g1v0349700
OG0002180	AT5G57970	LotjaGi6g1v0203700
OG0002181	AT2G18380, AT4G36620, AT3G50870	LotjaGi4g1v0117700, LotjaGi2g1v0390100
OG0002182	AT2G18950	LotjaGi1g1v0106000, LotjaGi6g1v0341900, LotjaGi1g1v0101900_LC, LotjaGi1g1v0102200, LotjaGi1g1v0102300, LotjaGi1g1v0102400, LotjaGi4g1v0173700, LotjaGi1g1v0036200, LotjaGi1g1v0035800
OG0002183	AT5G27210, AT3G05010	LotjaGi5g1v0217000
OG0002184	AT2G30130	LotjaGi6g1v0118000
OG0002185	AT1G53820, AT1G72310	LotjaGi3g1v0407100, LotjaGi1g1v0799200
OG0002186	AT1G20350, AT2G37410	LotjaGi2g1v0224900, LotjaGi4g1v0081400
OG0002187	AT5G55990, AT4G26570, AT4G16350	LotjaGi1g1v0013900, LotjaGi6g1v0139800
OG0002188	AT2G37900, AT3G53960	LotjaGi1g1v0577700, LotjaGi3g1v0222800
OG0002189	AT4G10770	LotjaGi6g1v0033800
OG0002191	AT3G10080	LotjaGi5g1v0094900, LotjaGi5g1v0345300
OG0002192	AT5G06860, AT5G06870	LotjaGi1g1v0724000
OG0002193	AT3G52740	LotjaGi1g1v0676100, LotjaGi5g1v0095300_LC
OG0002194	AT3G63450, AT3G51950	LotjaGi3g1v0546400, LotjaGi3g1v0546300, LotjaGi3g1v0117500
OG0002195	AT2G30720	LotjaGi4g1v0066800
OG0002195	AT5G48370	LotjaGi1g1v0490500
OG0002196	AT4G00755	LotjaGi1g1v0468700, LotjaGi2g1v0148900
OG0002197	AT4G35150, AT4G35160	LotjaGi6g1v0036500
OG0002198	AT3G53940, AT2G37890, AT3G55640	LotjaGi1g1v0085800, LotjaGi3g1v0223200
OG0002199	AT2G45190	LotjaGi3g1v0207600, LotjaGi2g1v0177600_LC, LotjaGi4g1v0209200
OG0002200	AT3G20720	LotjaGi3g1v0150800
OG0002202	AT5G67550	LotjaGi2g1v0410100
OG0002203	AT2G44120, AT2G01250, AT3G13580	LotjaGi6g1v0234100, LotjaGi3g1v0345100
OG0002204	AT2G20760	LotjaGi3g1v0443300, LotjaGi6g1v0334300, LotjaGi4g1v0054300
OG0002205	AT4G25740, AT5G52650	LotjaGi4g1v0429700, LotjaGi2g1v0436000
OG0002206	AT5G27730	LotjaGi1g1v0686700, LotjaGi1g1v0770300
OG0002207	AT2G44600, AT3G60200	LotjaGi3g1v0072800
OG0002208	AT5G41315, AT1G63650	LotjaGi3g1v0383100, LotjaGi4g1v0426800
OG0002209	AT1G61330, AT1G61320	LotjaGi6g1v0338800
OG0002210	AT5G64530	LotjaGi1g1v0320800, LotjaGi6g1v0355100, LotjaGi4g1v0032600
OG0002211	AT3G02770, AT5G16450	LotjaGi1g1v0485500
OG0002211	AT5G56260	LotjaGi6g1v0344700
OG0002212	AT1G04890, AT4G13630	LotjaGi3g1v0082700
OG0002213	AT1G14370, AT2G02800	LotjaGi4g1v0248100, LotjaGi2g1v0307100
OG0002215	AT5G20650	LotjaGi1g1v0372000
OG0002216	AT5G28237	LotjaGi2g1v0457700
OG0002216	AT4G27070, AT5G54810	LotjaGi6g1v0162700, LotjaGi6g1v0166050
OG0002217	AT1G22200, AT1G36050	LotjaGi4g1v0033900, LotjaGi1g1v0147300
OG0002219	AT1G16390, AT1G79360	LotjaGi3g1v0055200, LotjaGi3g1v0317700, LotjaGi4g1v0340500, LotjaGi2g1v0002500
OG0002220	AT1G79870	LotjaGi3g1v0018000
OG0002221	AT3G06080, AT5G19160	LotjaGi6g1v0297050, LotjaGi4g1v0352700
OG0002222	AT5G62280	LotjaGi2g1v0162000, LotjaGi5g1v0194700
OG0002223	AT1G08770	LotjaGi1g1v0713100, LotjaGi5g1v0175700
OG0002224	AT4G11610	LotjaGi1g1v0473700, LotjaGi2g1v0433600, LotjaGi3g1v0381600
OG0002225	AT3G09740, AT3G61450	LotjaGi1g1v0692200
OG0002226	AT4G22010	LotjaGi4g1v0012700, LotjaGi3g1v0187600, LotjaGi3g1v0467500
OG0002228	AT5G22450	LotjaGi3g1v0477500
OG0002229	AT1G77840	LotjaGi1g1v0544800, LotjaGi1g1v0544600, LotjaGi2g1v0237700_LC
OG0002230	AT3G13620	LotjaGi4g1v0374800, LotjaGi4g1v0374700, LotjaGi1g1v0734100
OG0002231	AT1G68200	LotjaGi5g1v0334600
OG0002232	AT5G18290, AT3G04090	LotjaGi1g1v0638600, LotjaGi2g1v0104700, LotjaGi3g1v0467400
OG0002233	AT1G49740	LotjaGi4g1v0075800
OG0002233	AT4G36945	LotjaGi2g1v0402400
OG0002234	AT2G36530	LotjaGi1g1v0680200, LotjaGi2g1v0161200
OG0002235	AT3G12900	LotjaGi3g1v0138900
OG0002236	AT3G26000	LotjaGi4g1v0363400
OG0002237	AT1G74040, AT1G18500	LotjaGi5g1v0362600
OG0002238	AT2G27600	LotjaGi3g1v0478700, LotjaGi3g1v0175600
OG0002239	AT4G14746	LotjaGi6g1v0002800
OG0002240	AT5G43960	LotjaGi1g1v0704000, LotjaGi6g1v0010100
OG0002242	AT3G02645	LotjaGi3g1v0353300
OG0002243	AT2G46380, AT3G61670	LotjaGi3g1v0393100, LotjaGi1g1v0791100
OG0002244	AT4G10250	LotjaGi5g1v0195600
OG0002245	AT2G46780	LotjaGi1g1v0295300, LotjaGi3g1v0402300
OG0002246	AT2G23310	LotjaGi4g1v0100900, LotjaGi2g1v0404600
OG0002267	AT5G41180, AT1G63430	LotjaGi2g1v0433000, LotjaGi4g1v0424600, LotjaGi1g1v0169600
OG0002269	AT1G51950, AT3G16500	LotjaGi3g1v0021800
OG0002270	AT4G18380, AT5G46170, AT1G30200	LotjaGi6g1v0311300
OG0002271	AT2G43230, AT3G59350, AT1G06700, AT2G30730, AT2G30740	LotjaGi5g1v0362800
OG0002272	AT3G51780	LotjaGi1g1v0444400, LotjaGi3g1v0196400
OG0002273	AT4G25690, AT4G25670, AT5G52550	LotjaGi5g1v0296800
OG0002274	AT3G44290, AT5G22290, AT2G27300	LotjaGi3g1v0180600
OG0002275	AT3G45630, AT5G60170	LotjaGi2g1v0365000
OG0002276	AT1G62880, AT1G12390, AT1G12340	LotjaGi2g1v0427600
OG0002279	AT3G61940, AT2G46800, AT3G58810	LotjaGi1g1v0797000, LotjaGi3g1v0404100
OG0002280	AT5G42000, AT1G01230	LotjaGi3g1v0398700
OG0002281	AT5G46740, AT4G17895	LotjaGi6g1v0341100_LC, LotjaGi4g1v0170900_LC
OG0002283	AT5G10790	LotjaGi5g1v0054200
OG0002284	AT5G45110, AT4G19660	LotjaGi6g1v0275700
OG0002285	AT5G37475	LotjaGi2g1v0181500
OG0002286	AT3G59600, AT1G54250	LotjaGi5g1v0109300, LotjaGi5g1v0166900
OG0002287	AT3G27710, AT3G27720, AT4G34370, AT2G16090	LotjaGi3g1v0505000
OG0002288	AT1G55290, AT3G13610	LotjaGi3g1v0076200
OG0002289	AT2G32300	LotjaGi3g1v0192300
OG0002292	AT1G66770, AT4G10850	LotjaGi4g1v0177400_LC, LotjaGi4g1v0437500
OG0002293	AT2G46490, AT5G35110	LotjaGi4g1v0282800_LC, LotjaGi5g1v0328600
OG0002294	AT4G24380	LotjaGi1g1v0140200
OG0002294	AT5G65400	LotjaGi2g1v0325600_LC
OG0002296	AT2G31390, AT1G50390, AT1G06030, AT1G06020, AT3G59480	LotjaGi3g1v0499100, LotjaGi3g1v0033000
OG0002297	AT5G07930	LotjaGi3g1v0513500_LC
OG0002298	AT5G46870, AT4G17720	LotjaGi5g1v0340000, LotjaGi2g1v0335600
OG0002299	AT4G08685	LotjaGi1g1v0147900, LotjaGi1g1v0246000
OG0002300	AT3G60320, AT1G02110	LotjaGi3g1v0066900, LotjaGi1g1v0495700
OG0002301	AT3G52830, AT5G54710, AT5G54720, AT5G54700, AT1G34046, AT1G34050, AT2G24600, AT1G10340	LotjaGi3g1v0020200
OG0002302	AT5G67180, AT4G36920	LotjaGi2g1v0403600
OG0002303	AT2G16890, AT5G14860	LotjaGi1g1v0606200
OG0002304	AT2G23090	LotjaGi4g1v0097400
OG0002305	AT2G24530, AT4G31440	LotjaGi1g1v0393800
OG0002307	AT5G06850, AT5G48060	LotjaGi3g1v0057950, LotjaGi5g1v0143900, LotjaGi3g1v0124600
OG0002308	AT3G45240, AT5G60550	LotjaGi3g1v0161500, LotjaGi2g1v0360800
OG0002309	AT4G38230, AT4G35310, AT2G17290	LotjaGi1g1v0000800
OG0002310	AT1G53200	LotjaGi3g1v0152300, LotjaGi1g1v0434300
OG0002311	AT2G33150, AT1G04710, AT5G48880	LotjaGi3g1v0232400
OG0002312	AT1G72280, AT2G38960	LotjaGi1g1v0361900, LotjaGi6g1v0211900
OG0002313	AT4G36660, AT5G65650	LotjaGi2g1v0391200
OG0002314	AT1G18080, AT3G18130, AT1G48630	LotjaGi4g1v0462200
OG0002315	AT3G61240, AT4G00660, AT2G45810	LotjaGi1g1v0473300
OG0002316	AT3G24120	LotjaGi5g1v0254900, LotjaGi6g1v0279500
OG0002317	AT4G34050	LotjaGi4g1v0103800, LotjaGi4g1v0103100, LotjaGi4g1v0103300_LC, LotjaGi4g1v0076500
OG0002318	AT5G57020, AT2G44175	LotjaGi6g1v0229700, LotjaGi3g1v0420700
OG0002320	AT1G32230, AT2G35510	LotjaGi2g1v0327000
OG0002321	AT4G25580, AT5G52300, AT5G52310	LotjaGi2g1v0143900
OG0002322	AT4G05450, AT4G21090	LotjaGi4g1v0451800
OG0002323	AT2G20140, AT4G29040	LotjaGi5g1v0124500, LotjaGi1g1v0700400
OG0002325	AT2G27040, AT5G21030, AT5G21150	LotjaGi1g1v0056000
OG0002327	AT1G32910, AT1G78990, AT5G16410	LotjaGi6g1v0177000
OG0002328	AT3G50090, AT3G50100, AT5G05540, AT5G67240	LotjaGi1g1v0680300, LotjaGi5g1v0008300
OG0002329	AT1G56710, AT1G02460, AT4G01890	LotjaGi5g1v0241100
OG0002330	AT1G59610, AT1G10290	LotjaGi3g1v0054800, LotjaGi4g1v0001200
OG0002331	AT5G25950, AT5G25960	LotjaGi1g1v0364600, LotjaGi5g1v0172500, LotjaGi1g1v0363900, LotjaGi1g1v0365600, LotjaGi1g1v0365500
OG0002332	AT1G31690, AT1G31670, AT1G31710	LotjaGi5g1v0314500
OG0002333	AT1G02260	LotjaGi2g1v0139400
OG0002334	AT5G21222, AT5G25630	LotjaGi4g1v0068600_LC
OG0002335	AT5G15800, AT2G03710, AT3G02310	LotjaGi2g1v0270400, LotjaGi1g1v0517400
OG0002338	AT2G28780	LotjaGi3g1v0281900, LotjaGi2g1v0371100_LC, LotjaGi2g1v0371300
OG0002339	AT5G09440, AT5G64260	LotjaGi4g1v0035900
OG0002340	AT2G05990	LotjaGi1g1v0592800, LotjaGi3g1v0528200
OG0002341	AT1G30700	LotjaGi6g1v0266700, LotjaGi6g1v0172500
OG0002342	AT2G24610, AT4G30360	LotjaGi6g1v0198300, LotjaGi1g1v0396000
OG0002343	AT5G18190, AT3G03940	LotjaGi1g1v0642600
OG0002344	AT4G12570	LotjaGi4g1v0008500, LotjaGi4g1v0162300
OG0002345	AT1G27930, AT1G67330	LotjaGi6g1v0098000
OG0002346	AT3G63410	LotjaGi5g1v0193900, LotjaGi5g1v0173600
OG0002347	AT1G07170	LotjaGi3g1v0248200
OG0002347	AT2G30000	LotjaGi6g1v0123000
OG0002348	AT2G28320, AT3G54800	LotjaGi3g1v0164200, LotjaGi5g1v0273900
OG0002349	AT1G68360	LotjaGi2g1v0275000, LotjaGi5g1v0337900
OG0002351	AT4G02500, AT3G62720	LotjaGi1g1v0766100, LotjaGi6g1v0249700, LotjaGi4g1v0341600
OG0002352	AT5G37070, AT3G08890	LotjaGi3g1v0197700, LotjaGi1g1v0445600
OG0002353	AT3G57650	LotjaGi3g1v0288000
OG0002353	AT1G51260	LotjaGi1g1v0721800
OG0002354	AT5G50770, AT5G50600, AT5G50700	LotjaGi4g1v0418700
OG0002355	AT2G17890, AT5G66210, AT4G36070	LotjaGi2g1v0381200, LotjaGi4g1v0127800
OG0002356	AT1G24735, AT1G67980, AT1G67990	LotjaGi4g1v0365400
OG0002357	AT3G12420, AT3G12460, AT3G12430, AT3G12440, AT3G12410, AT3G12470, AT2G36110	LotjaGi6g1v0260200, LotjaGi6g1v0260400_LC
OG0002358	AT1G58330, AT1G09950	LotjaGi1g1v0442700
OG0002359	AT3G16030, AT1G67520	LotjaGi3g1v0017000
OG0002360	AT5G49780, AT5G49750, AT5G49760, AT5G49770	LotjaGi6g1v0277200
OG0002361	AT5G49665	LotjaGi1g1v0414100
OG0002362	AT5G01710	LotjaGi3g1v0201400
OG0002363	AT4G37790, AT2G22800	LotjaGi2g1v0412500, LotjaGi4g1v0091100
OG0002364	AT5G05360	LotjaGi2g1v0269600
OG0002364	AT2G38450	LotjaGi6g1v0050900
OG0002365	AT2G02040, AT2G02020, AT1G62200	LotjaGi4g1v0017000, LotjaGi4g1v0016700, LotjaGi4g1v0016600
OG0002366	AT5G50250, AT4G24770	LotjaGi1g1v0228900, LotjaGi4g1v0226700
OG0002367	AT4G17170, AT4G35860	LotjaGi6g1v0280400
OG0002369	AT5G62090	LotjaGi2g1v0149000
OG0002370	AT4G33650, AT2G14120	LotjaGi4g1v0040300, LotjaGi6g1v0348900
OG0002371	AT1G04140, AT5G43930	LotjaGi5g1v0151900, LotjaGi1g1v0702000
OG0002372	AT1G12030, AT1G62420	LotjaGi6g1v0287700, LotjaGi4g1v0009100, LotjaGi6g1v0287600
OG0002374	AT3G53410, AT5G03200, AT3G09770	LotjaGi5g1v0077600
OG0002375	AT2G10975	LotjaGi1g1v0219000_LC
OG0002375	AT1G36675, AT3G29637, AT5G33390, AT3G29645	LotjaGi1g1v0295800, LotjaGi5g1v0364900_LC, LotjaGi1g1v0738300_LC, LotjaGi2g1v0167800_LC, LotjaGi1g1v0254900_LC, LotjaGi1g1v0030200_LC, LotjaGi3g1v0385000_LC, LotjaGi6g1v0154900_LC, LotjaGi2g1v0132300_LC, LotjaGi6g1v0229500_LC, LotjaGi2g1v0023800_LC, LotjaGi1g1v0050000_LC
OG0002376	AT1G54730	LotjaGi1g1v0776000
OG0002377	AT5G24940, AT5G10740, AT4G31750	LotjaGi5g1v0050400, LotjaGi1g1v0375200
OG0002379	AT2G27210, AT1G08420	LotjaGi3g1v0471100, LotjaGi3g1v0183500
OG0002380	AT4G14450, AT3G23170, AT1G04330	LotjaGi5g1v0182600
OG0002381	AT3G05310, AT5G27540, AT3G63150	LotjaGi5g1v0220400
OG0002382	AT5G63700	LotjaGi6g1v0050400, LotjaGi6g1v0050200, LotjaGi6g1v0050300_LC
OG0002383	AT5G50370, AT5G63400	LotjaGi1g1v0236500, LotjaGi4g1v0223300
OG0002384	AT1G06780, AT2G30575	LotjaGi5g1v0175400, LotjaGi1g1v0713400
OG0002385	AT3G55550	LotjaGi3g1v0376300_LC, LotjaGi3g1v0230100
OG0002386	AT1G15410	LotjaGi3g1v0359000, LotjaGi3g1v0011400
OG0002387	AT1G03950, AT5G44560	LotjaGi1g1v0707200, LotjaGi6g1v0213700
OG0002388	AT1G19740, AT1G75460	LotjaGi3g1v0292700_LC, LotjaGi3g1v0189200_LC
OG0002389	AT3G56710, AT2G41180	LotjaGi3g1v0108200
OG0002390	AT5G45710, AT4G18880	LotjaGi6g1v0318700, LotjaGi4g1v0381000
OG0002391	AT2G37910, AT3G01610	LotjaGi6g1v0066700, LotjaGi3g1v0251100
OG0002392	AT2G35060, AT1G31120, AT4G19960	LotjaGi4g1v0021800, LotjaGi6g1v0242400
OG0002393	AT1G03050, AT4G02650	LotjaGi6g1v0355400, LotjaGi4g1v0032300
OG0002394	AT5G22070	LotjaGi6g1v0015600, LotjaGi3g1v0183900
OG0002395	AT5G51190, AT5G61600	LotjaGi6g1v0017800
OG0002397	AT2G29700	LotjaGi6g1v0112700
OG0002397	AT5G05710	LotjaGi1g1v0078500
OG0002398	AT2G39270, AT2G37250	LotjaGi5g1v0072750, LotjaGi1g1v0694600
OG0002399	AT4G27460, AT5G53750	LotjaGi3g1v0263500
OG0002400	AT1G09140, AT4G02430, AT1G02840	LotjaGi1g1v0765000, LotjaGi5g1v0224900
OG0002401	AT1G11905	LotjaGi6g1v0292600
OG0002401	AT5G42570	LotjaGi3g1v0467900
OG0002402	AT3G52660, AT5G28390	LotjaGi3g1v0476700, LotjaGi1g1v0675400
OG0002403	AT1G12560, AT1G62980	LotjaGi2g1v0429600, LotjaGi4g1v0217400
OG0002404	AT3G45180	LotjaGi3g1v0163600
OG0002404	AT5G42300	LotjaGi6g1v0313000
